;F.O.;Tiempo (s);Dev (%);#Best
Constructivo
Búsqueda local


;Constructivo;;;;Búsqueda Tabu
Nombre de la instancia;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;;Best
pmed11v3.10.2.txt;12196,22513;0,0024796;0,37575;0;8865,17330;0,5261937;0,00000;1;;8865,17330
Grasp0pmed11v3.10.2.txt;9722,94286;0,1363262;0,10097;0;8831,22358;0,3821805;0,00000;1;;8831,22358
Grasp1pmed11v3.10.2.txt;10837,88977;0,0660067;0,21768;0;8900,41273;0,2850211;0,00000;1;;8900,41273
Grasp2pmed11v3.10.2.txt;10746,61788;0,0465987;0,19938;0;8960,14538;0,2551816;0,00000;1;;8960,14538
Grasp3pmed11v3.10.2.txt;10497,00040;0,0446355;0,17221;0;8954,89975;0,2192173;0,00000;1;;8954,89975
Grasp4pmed11v3.10.2.txt;10792,16813;0,0418883;0,19914;0;8999,89975;0,2175722;0,00000;1;;8999,89975
Grasp5pmed11v3.10.2.txt;10389,55109;0,0647570;0,18241;0;8786,75405;0,3402582;0,00000;1;;8786,75405
Grasp6pmed11v3.10.2.txt;11223,90236;0,0408933;0,25156;0;8967,93038;0,2427130;0,00000;1;;8967,93038
Grasp7pmed11v3.10.2.txt;11149,13946;0,0413224;0,24288;0;8970,43114;0,1783390;0,00000;1;;8970,43114
Grasp8pmed11v3.10.2.txt;10688,36492;0,0403501;0,18022;0;9056,25270;0,1810402;0,00000;1;;9056,25270
Grasp9pmed11v3.10.2.txt;12263,54578;0,0437081;0,34976;0;9085,70426;0,2530263;0,00000;1;;9085,70426
Grasp10pmed11v3.10.2.txt;9709,51190;0,0415414;0,08514;0;8947,72087;0,2251444;0,00000;1;;8947,72087
Grasp11pmed11v3.10.2.txt;10769,55534;0,0653170;0,20965;0;8903,06552;0,3363640;0,00000;1;;8903,06552
Grasp12pmed11v3.10.2.txt;10778,32168;0,0380794;0,22179;0;8821,75405;0,3531751;0,00000;1;;8821,75405
Grasp13pmed11v3.10.2.txt;12030,12304;0,0416554;0,35398;0;8884,98610;0,2888409;0,00000;1;;8884,98610
Grasp14pmed11v3.10.2.txt;11544,16474;0,0596862;0,28341;0;8994,89975;0,1765766;0,00000;1;;8994,89975
Grasp15pmed11v3.10.2.txt;10474,92206;0,0405584;0,17592;0;8907,87058;0,2526983;0,00000;1;;8907,87058
