;F.O.;Tiempo (s);Dev (%);#Best;
Constructivo
Búsqueda local


;Constructivo;;;;Búsqueda Local;;;;Búsqueda Tabu
Nombre de la instancia;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;F.O.;Tiempo (s);Dev (%);#Best;;Best
Grasp17pmed11v3.10.2.txt;9151,27106;2,6393188;0,02759;0;9060,53795;2,7839648;0,01740;0;8905,54328;14,7634217;0,00000;1;;8905,54328
Grasp68pmed1v3.10.2.txt;8536,37914;0,2671368;0,11856;0;7690,87611;0,2847963;0,00777;0;7631,57344;1,4598817;0,00000;1;;7631,57344
Grasp10pmed6v3.10.2.txt;9887,84700;1,0473066;0,08102;0;9571,24210;1,1968568;0,04640;0;9146,81682;6,8111180;0,00000;1;;9146,81682
Grasp40pmed7v3.10.2.txt;8880,93585;4,8467225;0,11529;0;8140,13638;5,2000562;0,02225;0;7962,92553;22,2976256;0,00000;1;;7962,92553
Grasp77pmed2v3.10.2.txt;6674,96132;0,9414876;0,15203;0;5998,44557;1,0391834;0,03527;0;5794,10346;3,9981902;0,00000;1;;5794,10346
Grasp6pmed3v3.10.2.txt;6865,93991;1,1538172;0,06187;0;6465,88894;1,3039025;0,00000;1;6467,27949;4,8541447;0,00022;0;;6465,88894
Grasp55pmed4v3.10.2.txt;6964,08764;5,3505971;0,14483;0;6440,48504;5,8589290;0,05876;0;6083,05288;13,1304134;0,00000;1;;6083,05288
Grasp58pmed5v3.10.2.txt;5402,77509;15,3778301;0,25229;0;4848,26215;16,4490439;0,12376;0;4314,32863;28,8227919;0,00000;1;;4314,32863
Grasp59pmed8v3.10.2.txt;8421,58577;22,4918562;0,14682;0;7920,93686;23,6098055;0,07864;0;7343,42364;64,4933457;0,00000;1;;7343,42364
Grasp98pmed9v3.10.2.txt;7487,33166;133,7021517;0,17729;0;6713,17710;139,3380864;0,05556;0;6359,82456;248,1300704;0,00000;1;;6359,82456
